
[00:00:00.000 --> 00:00:07.480]   [MUSIC PLAYING]
[00:00:07.480 --> 00:00:10.480]   OK, so good afternoon, everyone.
[00:00:10.480 --> 00:00:16.720]   So today we'll talk about what digital images, both how--
[00:00:16.720 --> 00:00:20.360]   we'll talk about sensors, how to represent images,
[00:00:20.360 --> 00:00:24.240]   about how we can sense images, look
[00:00:24.240 --> 00:00:25.840]   at a bit of different aspects and issues
[00:00:25.840 --> 00:00:28.480]   that you can encounter there.
[00:00:28.480 --> 00:00:33.440]   And then we'll also look at image representation
[00:00:33.440 --> 00:00:35.640]   and all the different aspects and things
[00:00:35.640 --> 00:00:38.520]   that are important there and how we actually represent images.
[00:00:38.520 --> 00:00:45.400]   And we'll touch just a very little bit on how we actually
[00:00:45.400 --> 00:00:48.840]   represent digital images by samples and things like that.
[00:00:48.840 --> 00:00:51.160]   Some of those concepts we'll then revisit much more in depth
[00:00:51.160 --> 00:00:54.240]   in the coming weeks.
[00:00:54.240 --> 00:00:59.640]   But that's essentially the program for today.
[00:00:59.640 --> 00:01:03.960]   I also apologize the slides are not yet online.
[00:01:03.960 --> 00:01:05.960]   I was trying to exchange them or give access
[00:01:05.960 --> 00:01:09.280]   to the assistance to upload the slides.
[00:01:09.280 --> 00:01:13.920]   And there was some issue with draw box quotas and stuff
[00:01:13.920 --> 00:01:15.520]   like that that couldn't--
[00:01:15.520 --> 00:01:17.080]   we haven't yet set it up so.
[00:01:17.080 --> 00:01:21.680]   But in the future, you should get the slides ahead of time
[00:01:21.680 --> 00:01:22.180]   available.
[00:01:22.180 --> 00:01:31.360]   OK, so just a random picture here.
[00:01:31.360 --> 00:01:34.520]   But essentially, if you think of--
[00:01:34.520 --> 00:01:38.600]   take any cell phone, look out at the world,
[00:01:38.600 --> 00:01:39.960]   grab a picture.
[00:01:39.960 --> 00:01:44.920]   If you actually think of what this sensor actually does,
[00:01:44.920 --> 00:01:46.040]   it's actually quite amazing.
[00:01:46.040 --> 00:01:49.000]   So if you just a little bit think through,
[00:01:49.000 --> 00:01:50.800]   there are sensors that will measure, I don't know,
[00:01:50.800 --> 00:01:54.400]   like temperature or other things that will locally give you
[00:01:54.400 --> 00:01:59.240]   one measurement at a time at a rate that's not too fast or so.
[00:01:59.240 --> 00:02:04.000]   If you look here, what do we have?
[00:02:04.000 --> 00:02:09.160]   We have a sensor, essentially a huge grid of sensors
[00:02:09.160 --> 00:02:17.480]   that all can snap a joint kind of observation of this scene
